mean,variance,contrast,energy,homogeneity,lbp_mean,lbp_std,area,perimeter,circularity,label
134.48702566964286,6296.9254933376715,495.82068786034597,0.039592717957732525,0.19888377020051767,4.778041294642857,2.426358982286484,18665.0,1802.302725315094,0.07220751172802745,Benign
129.36459661989795,5623.948861396595,347.53745595771943,0.017999103295795016,0.15820141302689503,4.444634885204081,1.9046768962382137,14236.5,1727.2316578626633,0.05996694406233866,Benign
129.3505859375,5605.641060323132,366.08506165919283,0.015390287675740466,0.152298729663969,4.424226721938775,1.8787585097299964,14510.0,1030.156415104866,0.1718188997680843,Benign
129.15909996811226,5551.238498584074,256.14714125560545,0.019158758130539043,0.18068790505321006,4.465421715561225,1.87813304713896,17082.0,1286.0630501508713,0.12978486811974407,Benign
129.16934390943877,5556.123805899265,270.5905669442665,0.015845903777087094,0.17503274214108666,4.464604591836735,1.9100525481016295,18376.5,1536.815356850624,0.09777532758719987,Benign
128.68995137117346,5461.2466034255685,183.4344370595772,0.013972238514438181,0.19658446933632692,4.451590401785714,1.793812069418803,19639.5,1140.1391699314117,0.18985610129991065,Benign
134.63952885841837,5883.326752998688,651.3938781229981,0.02228010854392988,0.17613806073942392,4.749900350765306,2.5395881010216286,15186.5,2278.6773968935013,0.036753768004782264,Benign
133.85524952168367,5926.884639614078,631.7138252722613,0.024074735391792633,0.1860120074820772,4.754344706632653,2.4953801895935843,14351.5,1310.0701894760132,0.10507950795886843,Benign
129.1356425382653,5488.375135859465,320.65462844330557,0.013738968075789134,0.18111589664923106,4.438077965561225,1.8747640595546688,18551.0,1844.930142045021,0.06848844987959615,Benign
129.6553332270408,5606.290404432965,349.1995315502882,0.015887353169202978,0.1564037837365602,4.45589524872449,1.9573253109679398,24436.0,1976.1849749088287,0.07862936972778548,Benign
128.7615593112245,5467.228501586405,244.4875880845612,0.0140100492343075,0.19323149299259545,4.418506855867347,1.7506420477053748,21793.5,1248.305690407753,0.1757498432478244,Benign
131.5168008609694,5904.074972833111,423.6524863869315,0.03124702454849414,0.16071988160648165,4.576889349489796,2.1698879238141835,14920.5,2090.1088542938232,0.0429195767875395,Benign
130.39698262117346,5791.164610633946,298.1622958039718,0.027003651356253426,0.18987934579725832,4.585319674744898,2.0883446945620605,27858.5,1710.3788450956345,0.11966935773544815,Benign
128.79416454081633,5468.591440756089,274.0634008648302,0.014241552969915562,0.18335466612161638,4.4164939413265305,1.7581812091434805,16485.0,1318.0630501508713,0.11924122928922015,Benign
